Extension	File type description
iso	CALS ISO 8613 bitmap graphics file
itc2	Apple iTunes cover flow data file
itg	Intergraph format bitmap graphics
ivb	Truevision Targa format bitmap graphics file
ivp	Truevision Targa bitmap image
ivue	Live Picture image file
iw4	DjVu image format
iw44	DjVu image format
j	JPEG/JFIF image file
j2c	JPEG2000 image format
j2k	JPEG2000 code stream image
j6i	Ricoh Digital Camera image file
jag	Atari Jaguar JPEG compressed image
jap	JAlbum album file
jas	Corel PaintShop Photo Pro bitmap graphics file
jb2	JBIG2 image file
jbr	Corel PaintShop Photo Pro brushes file
jfi	JPEG File Interchange Format
jfif	JPEG Interchange format file
jfif-tbnl	Picture file
jif	Jeff's Image Format file
jif	JPEG Interchange format file
jls	JPEG-LS image format
jmh	JPEG File Interchange Format bitmap file
jng	JPEG Network Graphic file
jp2	JPEG 2000 image format (ISO 15444-1) file
jpc	Japan Picture bitmap graphic format
jpc	JPEG2000 code stream image format
jpd	Joint PhotoDefiner image file
jpe	JPEG bitmap image format file
jpeg	JPEG bitmap image format file
jpf	JPEG 2000 extended image format (ISO 15444-2) file
jpg	JPEG bitmap image format file
jpg	CompactDRAW e-JPG graphic file
jpg2	JPEG 2000 image format (ISO 15444-1) file
jpg_t	JPEG image file
jpm	JPEG 2000 multi-layer image format (ISO 15444-6) file
jpx	JPEG 2000 extended image format (ISO 15444-2) file
jsl	Corel PaintShop Photo Pro shapes file
jtf	JPEG Tagged Interchange Format image
jtif	JPEG Tagged Interchange file
jxr	JPEG XR Image
k25	Kodak DC25 digital camera file
kdc	Kodak DC120 digital camera RAW image
kdk	Kodak proprietary decimated TIFF format
kfx	Kofax Group 4 bitmap graphics
kgp	Bitmap image file
kic	Kodak compressed image file
koa	Koala paint C64 file format
kodak	Kodak Photo CD file
kpg	Kai's Power Goo graphic file
kps	IBM KIPS bitmap image graphics
kqp	Konica camera file
lan	Erdas true colour bitmap image
lbm	Interleaved bitmap file
ldf	LuraDocument Format image format
lgo	Microsoft Windows 3.0 logo driver (bitmap)
lif	Leica image file
lj	HP LaserJet graphics file
ljp	Lossless JPEG bitmap image file
lrg	Macromedia XRes multi-resolution bitmap file
lw	Line Work TIFF bitmap file
mac	MacPaint bitmap image
macp	Apple Macintosh MacPaint bitmap image
map	Geographical map file
mask	Cygwin bitmap file
mat	Vue material file
mbfavs	Stardent AVS X bitmap image file
mbfs	Stardent AVS X bitmap image file
mbfx	AVS X image file
mbm	EPOC multi-bitmap file
me2	Pixel image file
mef	Mamiya ZD MEF image file
mfm	mTropolis mPire graphic file
mfw	Mamiya camera RAW file
mfx	mTropolis picture format
mgf	MalieGF bitmap
mgr	MGR bitmap image
miff	Magick image file format
mil	Group 4 fax file (raster graphics)
mip	Corel PaintShop Pro multiple image print file
mix	Microsoft PhotoDraw image
mki	MagView Japanese graphics MAKIchan format bitmap file
mmr	Fuji Xerox fax image file
mnd	Cerious Mandelbrot image
mng	Multiple Network Graphics
mni	Cerious Mandelbrot image
mos	Mamiya Digital Camera RAW image file
mp	Monochrome picture TIFF bitmap
mpc	Magick Persistent Cache image file format
mpnt	MacPaint image format
mpo	CIPA Multi-Picture format
mpt	Multipage TIFF Editor bitmap file format
mpz	MyPhotoZip file
mrb	C++ Multiple Resolution Bitmap Graphic
mrw	Minolta Dimage Raw Image File
msp	Microsoft Paint bitmap picture
Mtiff	Multi-page Tiff file format
mur	Atari image format
mvc	Sony Digital Mavica photo image file
mxi	Maxwell Render image file
ncsa	Hierarchical Data File
nef	Nikon Digital SLR camera RAW image file
news	NeWS bitmap image file
ngg	Nokia Group Graphics image format
niff	NIFF Navy Image File Format file
nlm	Nokia Logo file image format
nol	Nokia Operator Logo image format
nrf	Neutral raster file bitmap image
nrw	Nikon Raw image file
nth	ImageMagick VisualMagick JBIG file
oa0	B.O.U.T. Evolution texture file
oa2	B.O.U.T. Evolution low res texture file
oaz	NetFax Manager OAZ fax image
odf	HMI Builder operator display file
ora	MyPaint Open Raster graphic file
orf	Olympus Digital Camera Raw Image File
otb	Nokia OTA bitmap file
oti	OpenDocument image template file
ozj	Mu Online graphic file
p	Applause picture file
p7	XV Visual Schnauzer bitmap format
pac	Kodak Photo-CD multi-resolution image file
pad	Scanner Output file
paint	Apple Macintosh MacPaint bitmap file
pam	Portable arbitrary map
pam	Common 2-dimensional bitmap format
pamp	PowerAMP album art file
pap	PanoramaStudio project file
pattern	PhotoLine 5 Default file
pbf	Portable bitmap format file
pbm	Portable Bitmap file
pbm	UNIX Portable bitmap graphic file
pbm	Xlib bitmap graphics file
pbmv	Portable bitmap file
pc1	Atari Degas image
pc2	Atari Degas image
pc3	Atari Degas bitmap image
pcc	ZSoft PC Paintbrush format
pcd	Kodak Picture CD multiresolution image
pcp	Image PC Paint (DOS) Bitmap graphics
